"","unigram","n"
"1304","bruise",34
"1305","cruise",34
"1306","cube",34
"1307","deny",34
"1308","dice",34
"1309","electric",34
"1310","enemies",34
"1311","fore",34
"1312","goodbyes",34
"1313","habit",34
"1314","haters",34
"1315","homie",34
"1316","important",34
"1317","jazz",34
"1318","juice",34
"1319","main",34
"1320","mexico",34
"1321","mood",34
"1322","rag",34
"1323","rivers",34
"1324","saddle",34
"1325","silly",34
"1326","smokin",34
"1327","sodom",34
"1328","solid",34
"1329","spill",34
"1330","ticket",34
"1331","trippin",34
"1332","vibes",34
"1333","whistle",34
"1334","winner",34
"1335","bullets",33
"1336","copy",33
"1337","dangerous",33
"1338","demons",33
"1339","destruction",33
"1340","ecstasy",33
"1341","feather",33
"1342","flash",33
"1343","howl",33
"1344","hump",33
"1345","illusion",33
"1346","inner",33
"1347","innocent",33
"1348","kentucky",33
"1349","kings",33
"1350","mankind",33
"1351","match",33
"1352","memphis",33
"1353","reign",33
"1354","screw",33
"1355","slam",33
"1356","square",33
"1357","stories",33
"1358","strangers",33
"1359","suddenly",33
"1360","sweetest",33
"1361","unknown",33
"1362","addict",32
"1363","anti",32
"1364","appear",32
"1365","betray",32
"1366","border",32
"1367","bowl",32
"1368","cheap",32
"1369","chicago",32
"1370","cigarette",32
"1371","cling",32
"1372","crib",32
"1373","culture",32
"1374","dim",32
"1375","diss",32
"1376","equal",32
"1377","feat",32
"1378","fire",32
"1379","grant",32
"1380","greater",32
"1381","guarantee",32
"1382","hooray",32
"1383","hush",32
"1384","jukebox",32
"1385","lump",32
"1386","mental",32
"1387","patois",32
"1388","peaceful",32
"1389","player",32
"1390","proof",32
"1391","psycho",32
"1392","ridin",32
"1393","roads",32
"1394","seal",32
"1395","smart",32
"1396","supercat",32
"1397","windows",32
"1398","worst",32
"1399","able",31
"1400","affair",31
"1401","alarm",31
"1402","careful",31
"1403","champagne",31
"1404","cheek",31
"1405","curve",31
"1406","despair",31
"1407","everlasting",31
"1408","exactly",31
"1409","flavor",31
"1410","giants",31
"1411","health",31
"1412","image",31
"1413","judgement",31
"1414","mention",31
"1415","nervous",31
"1416","pant",31
"1417","positive",31
"1418","press",31
"1419","roar",31
"1420","shark",31
"1421","shore",31
"1422","slaughter",31
"1423","thumb",31
"1424","toe",31
"1425","ugly",31
"1426","actin",30
"1427","agree",30
"1428","anniversary",30
"1429","apple",30
"1430","avenue",30
"1431","bloody",30
"1432","borrow",30
"1433","cake",30
"1434","chase",30
"1435","clap",30
"1436","conversation",30
"1437","crow",30
"1438","darkest",30
"1439","deliver",30
"1440","disgrace",30
"1441","duck",30
"1442","eagle",30
"1443","flight",30
"1444","forsake",30
"1445","gentle",30
"1446","harm",30
"1447","hollow",30
"1448","kickin",30
"1449","label",30
"1450","lyrical",30
"1451","microphone",30
"1452","motherfuckin",30
"1453","owimoweh",30
"1454","pills",30
"1455","pistol",30
"1456","plastic",30
"1457","prayers",30
"1458","preacher",30
"1459","quickly",30
"1460","religion",30
"1461","remix",30
"1462","shabba",30
"1463","southern",30
"1464","teacher",30
"1465","thats",30
"1466","timer",30
"1467","tumble",30
"1468","waan",30
"1469","weakness",30
"1470","zone",30
"1471","age",29
"1472","belly",29
"1473","blowin",29
"1474","bread",29
"1475","bus",29
"1476","celebrate",29
"1477","chance",29
"1478","collect",29
"1479","completely",29
"1480","defeat",29
"1481","descend",29
"1482","dig",29
"1483","discover",29
"1484","drinkin",29
"1485","extra",29
"1486","foundation",29
"1487","hardly",29
"1488","hesitate",29
"1489","hype",29
"1490","jeans",29
"1491","killin",29
"1492","neon",29
"1493","papa",29
"1494","position",29
"1495","rack",29
"1496","replace",29
"1497","righteous",29
"1498","risk",29
"1499","savior",29
